#	Pokémon		Item	Moves				Nature	EVs
									HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
534		Conkeldurr	Black Belt	{MoveID:187s,MovePP:10b}	{MoveID:431s,MovePP:10b}	{MoveID:332s,MovePP:10b}	{MoveID:392s,MovePP:20b}	Bold	170	-	170	-	170	-
530		Excadrill	Soft Sand	{MoveID:54s,MovePP:15b}	{MoveID:187s,MovePP:10b}	{MoveID:528s,MovePP:10b}	{MoveID:215s,MovePP:15b}	Naughty	-	252	252	-	-	-
553		Krookodile	Black Glasses	{MoveID:260s,MovePP:15b}	{MoveID:60s,MovePP:20b}	{MoveID:225s,MovePP:5b}	{MoveID:114s,MovePP:20b}	Naughty	-	170	170	-	170	-
208		Steelix	Chesto Berry	{MoveID:58s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:232s,MovePP:10b}	{MoveID:285s,MovePP:20b}	Impish	252	-	-	-	252	-
461		Weavile	Razor Fang	{MoveID:324s,MovePP:10b}	{MoveID:225s,MovePP:5b}	{MoveID:434s,MovePP:15b}	{MoveID:416s,MovePP:10b}	Hasty	-	252	-	-	-	252
472		Gliscor	Razor Fang	{MoveID:251s,MovePP:15b}	{MoveID:416s,MovePP:10b}	{MoveID:254s,MovePP:20b}	{MoveID:35s,MovePP:20b}	Naughty	-	252	-	-	-	252
571		Zoroark	Focus Sash	{MoveID:434s,MovePP:15b}	{MoveID:208s,MovePP:15b}	{MoveID:225s,MovePP:5b}	{MoveID:114s,MovePP:20b}	Naive	-	252	-	-	-	252
630		Mandibuzz	Wacan Berry	{MoveID:225s,MovePP:5b}	{MoveID:329s,MovePP:15b}	{MoveID:405s,MovePP:10b}	{MoveID:16s,MovePP:10b}	Calm	-	-	-	-	252	252
628		Braviary	King's Rock	{MoveID:187s,MovePP:10b}	{MoveID:209s,MovePP:15b}	{MoveID:412s,MovePP:15b}	{MoveID:513s,MovePP:10b}	Adamant	-	170	170	-	170	-
73		Tentacruel	Black Sludge	{MoveID:105s,MovePP:10b}	{MoveID:493s,MovePP:10b}	{MoveID:271s,MovePP:10b}	{MoveID:427s,MovePP:20b}	Hasty	-	-	-	252	-	252
142		Aerodactyl	Choice Scarf	{MoveID:187s,MovePP:10b}	-	-	-	Jolly	-	252	-	-	-	252
233		Porygon2	Sitrus Berry	{MoveID:106s,MovePP:5b}	{MoveID:343s,MovePP:15b}	{MoveID:295s,MovePP:5b}	{MoveID:247s,MovePP:5b}	Modest	252	-	-	252	-	-
463		Lickilicky	Kee Berry	{MoveID:122s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:422s,MovePP:20b}	{MoveID:230s,MovePP:10b}	Naive	170	-	170	170	-	-
469		Yanmega	Cheri Berry	{MoveID:209s,MovePP:15b}	{MoveID:436s,MovePP:10b}	{MoveID:293s,MovePP:5b}	{MoveID:254s,MovePP:20b}	Rash	-	-	-	252	252	-
282		Gardevoir	Wide Lens	{MoveID:130s,MovePP:20b}	{MoveID:170s,MovePP:15b}	{MoveID:350s,MovePP:10b}	{MoveID:567s,MovePP:10b}	Timid	252	-	-	-	-	252
475		Gallade	Expert Belt	{MoveID:559s,MovePP:30b}	{MoveID:201s,MovePP:15b}	{MoveID:451s,MovePP:20b}	{MoveID:35s,MovePP:20b}	Hasty	-	252	-	-	-	252
103		Exeggutor	Petaya Berry	{MoveID:223s,MovePP:10b}	{MoveID:36s,MovePP:20b}	{MoveID:20s,MovePP:30b}	{MoveID:14s,MovePP:5b}	Mild	-	-	-	170	170	170
121		Starmie	Sitrus Berry	{MoveID:129s,MovePP:10b}	{MoveID:379s,MovePP:20b}	{MoveID:139s,MovePP:10b}	{MoveID:147s,MovePP:20b} Type	Timid	252	-	-	-	-	252
330		Flygon	Weakness Policy	{MoveID:58s,MovePP:10b}	{MoveID:55s,MovePP:15b}	{MoveID:297s,MovePP:10b}	{MoveID:158s,MovePP:5b}	Naive	-	252	-	-	-	252
601		Klinklang	Shuca Berry	{MoveID:543s,MovePP:15b}	{MoveID:123s,MovePP:20b}	{MoveID:138s,MovePP:40b}	{MoveID:524s,MovePP:20b}	Impish	252	-	-	-	-	252
609		Chandelure	Spell Tag	{MoveID:51s,MovePP:15b}	{MoveID:142s,MovePP:10b}	{MoveID:207s,MovePP:15b}	{MoveID:271s,MovePP:10b}	Modest	170	-	-	170	-	170
134		Vaporeon	Quick Claw	{MoveID:339s,MovePP:10b}	{MoveID:104s,MovePP:15b}	{MoveID:336s,MovePP:20b}	{MoveID:227s,MovePP:15b}	Quiet	-	-	252	252	-	-
135		Jolteon	Magnet	{MoveID:133s,MovePP:30b}	{MoveID:122s,MovePP:15b}	{MoveID:123s,MovePP:20b}	{MoveID:37s,MovePP:15b}	Hasty	-	-	-	252	-	252
136		Flareon	Focus Sash	{MoveID:127s,MovePP:10b}	{MoveID:233s,MovePP:15b}	{MoveID:526s,MovePP:30b}	{MoveID:158s,MovePP:5b}	Naughty	-	252	-	252	-	-
196		Espeon	Focus Sash	{MoveID:346s,MovePP:10b}	{MoveID:170s,MovePP:15b}	{MoveID:224s,MovePP:20b}	{MoveID:21s,MovePP:10b}	Naive	-	-	-	252	-	252
197		Umbreon	Leftovers	{MoveID:142s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:232s,MovePP:10b}	{MoveID:275s,MovePP:5b}	Impish	252	-	252	-	-	-
470		Leafeon	Scope Lens	{MoveID:435s,MovePP:15b}	{MoveID:400s,MovePP:15b}	{MoveID:35s,MovePP:20b}	{MoveID:377s,MovePP:15b}	Impish	252	-	-	-	-	252
471		Glaceon	Quick Claw	{MoveID:448s,MovePP:30b}	{MoveID:106s,MovePP:5b}	{MoveID:318s,MovePP:20b}	{MoveID:336s,MovePP:20b}	Rash	252	-	-	252	-	-
448		Lucario	Black Belt	{MoveID:376s,MovePP:40b}	{MoveID:269s,MovePP:15b}	{MoveID:432s,MovePP:20b}	{MoveID:512s,MovePP:10b}	Modest	-	-	-	252	-	252
450		Hippowdon	Soft Sand	{MoveID:58s,MovePP:10b}	{MoveID:260s,MovePP:15b}	{MoveID:346s,MovePP:10b}	{MoveID:74s,MovePP:20b}	Impish	-	252	252	-	-	-
476		Probopass	Cheri Berry	{MoveID:284s,MovePP:15b}	{MoveID:524s,MovePP:20b}	{MoveID:123s,MovePP:20b}	{MoveID:430s,MovePP:10b}	Calm	252	-	-	-	252	-
477		Dusknoir	Leftovers	{MoveID:99s,MovePP:20b}	{MoveID:207s,MovePP:15b}	{MoveID:307s,MovePP:20b}	{MoveID:250s,MovePP:5b}	Bold	252	-	252	-	-	-
620		Mienshao	Salac Berry	{MoveID:254s,MovePP:20b}	{MoveID:297s,MovePP:10b}	{MoveID:224s,MovePP:20b}	{MoveID:255s,MovePP:40b}	Naive	252	-	-	-	-	252
614		Beartic	Sitrus Berry	{MoveID:208s,MovePP:15b}	{MoveID:286s,MovePP:5b}	{MoveID:447s,MovePP:10b}	{MoveID:392s,MovePP:20b}	Brave	-	252	-	-	252	-
626		Bouffalant	Silk Scarf	{MoveID:542s,MovePP:15b}	{MoveID:258s,MovePP:20b}	{MoveID:47s,MovePP:10b}	{MoveID:203s,MovePP:20b}	Adamant	252	252	-	-	-	-
306		Aggron	Focus Sash	{MoveID:21s,MovePP:10b}	{MoveID:56s,MovePP:15b}	{MoveID:285s,MovePP:20b}	{MoveID:414s,MovePP:10b}	Impish	252	-	-	-	252	-
365		Walrein	Chesto Berry	{MoveID:525s,MovePP:10b}	{MoveID:231s,MovePP:15b}	{MoveID:326s,MovePP:20b}	{MoveID:29s,MovePP:10b}	Calm	-	-	252	-	252	-
473		Mamoswine	Passho Berry	{MoveID:475s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:448s,MovePP:30b}	{MoveID:285s,MovePP:20b}	Adamant	-	170	-	-	170	170
131		Lapras	Damp Rock	{MoveID:216s,MovePP:5b}	{MoveID:124s,MovePP:10b}	{MoveID:448s,MovePP:30b}	{MoveID:142s,MovePP:10b}	Quiet	-	-	252	252	-	-
169		Crobat	Charti Berry	{MoveID:462s,MovePP:20b}	{MoveID:435s,MovePP:15b}	{MoveID:130s,MovePP:20b}	{MoveID:254s,MovePP:20b}	Jolly	-	252	-	-	-	252
462		Magnezone	Magnet	{MoveID:376s,MovePP:40b}	{MoveID:221s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:430s,MovePP:10b}	Rash	252	-	-	252	-	-
464		Rhyperior	Zoom Lens	{MoveID:268s,MovePP:10b}	{MoveID:283s,MovePP:10b}	{MoveID:286s,MovePP:5b}	{MoveID:21s,MovePP:10b}	Brave	170	170	-	-	170	-
465		Tan{MoveID:11s,MovePP:20b}	Big Root	{MoveID:4s,MovePP:10b}	{MoveID:341s,MovePP:20b}	{MoveID:276s,MovePP:10b}	{MoveID:16s,MovePP:10b}	Bold	170	-	170	-	170	-
474		Porygon-Z	Wise Glasses	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:122s,MovePP:15b}	{MoveID:123s,MovePP:20b}	Modest	-	-	-	252	-	252
584		Vanilluxe	Never-Melt Ice	{MoveID:105s,MovePP:10b}	{MoveID:525s,MovePP:10b}	{MoveID:318s,MovePP:20b}	{MoveID:292s,MovePP:15b}	Calm	170	-	-	170	170	-
604		Eelektross	Magnet	{MoveID:457s,MovePP:15b}	{MoveID:421s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:123s,MovePP:20b}	Quiet	252	-	-	252	-	-
130		Gyarados	Muscle Band	{MoveID:450s,MovePP:15b}	{MoveID:214s,MovePP:10b}	{MoveID:123s,MovePP:20b}	{MoveID:401s,MovePP:20b}	Lonely	170	170	-	-	-	170
143		Snorlax	Sitrus Berry	{MoveID:25s,MovePP:20b}	{MoveID:263s,MovePP:15b}	{MoveID:114s,MovePP:20b}	{MoveID:344s,MovePP:10b}	Adamant	-	252	252	-	-	-
230		Kingdra	Persim Berry	{MoveID:159s,MovePP:15b}	{MoveID:516s,MovePP:15b}	{MoveID:21s,MovePP:10b}	{MoveID:296s,MovePP:10b}	Adamant	170	170	-	-	-	170
242		Blissey	Leftovers	{MoveID:30s,MovePP:15b}	{MoveID:505s,MovePP:15b}	{MoveID:512s,MovePP:10b}	{MoveID:372s,MovePP:5b}	Calm	-	-	252	-	252	-
350		Milotic	Enigma Berry	{MoveID:104s,MovePP:15b}	{MoveID:139s,MovePP:10b}	{MoveID:318s,MovePP:20b}	{MoveID:142s,MovePP:10b}	Bold	252	-	252	-	-	-
466		Electivire	Expert Belt	{MoveID:113s,MovePP:20b}	{MoveID:127s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:138s,MovePP:40b}	Naughty	170	170	-	-	-	170
467		Magmortar	Passho Berry	{MoveID:204s,MovePP:20b}	{MoveID:58s,MovePP:10b}	{MoveID:142s,MovePP:10b}	{MoveID:145s,MovePP:20b}	Adamant	252	252	-	-	-	-
612		Haxorus	Haban Berry	{MoveID:529s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:56s,MovePP:15b}	{MoveID:225s,MovePP:5b}	Hasty	-	252	-	-	-	252
468		Togekiss	Sitrus Berry	{MoveID:311s,MovePP:5b}	{MoveID:333s,MovePP:20b}	{MoveID:147s,MovePP:20b}	{MoveID:567s,MovePP:10b}	Calm	252	-	-	-	252	-
637		Volcarona	Power Herb	{MoveID:52s,MovePP:15b}	{MoveID:210s,MovePP:10b}	{MoveID:24s,MovePP:10b}	{MoveID:74s,MovePP:20b}	Modest	252	-	-	-	-	252
59		Arcanine	Charcoal	{MoveID:51s,MovePP:15b}	{MoveID:24s,MovePP:10b}	{MoveID:206s,MovePP:15b}	{MoveID:19s,MovePP:5b}	Modest	-	-	-	252	-	252
567		Archeops	Sitrus Berry	{MoveID:133s,MovePP:30b}	{MoveID:251s,MovePP:15b}	{MoveID:260s,MovePP:15b}	{MoveID:254s,MovePP:20b}	Jolly	-	252	-	-	-	252
149		Dragonite	Custap Berry	{MoveID:16s,MovePP:10b}	{MoveID:123s,MovePP:20b}	{MoveID:405s,MovePP:10b}	{MoveID:187s,MovePP:10b}	Impish	170	-	170	-	170	-
248		Tyranitar	Iron Ball	{MoveID:187s,MovePP:10b}	{MoveID:285s,MovePP:20b}	{MoveID:123s,MovePP:20b}	{MoveID:416s,MovePP:10b}	Impish	252	-	-	-	252	-
373		Salamence	Yache Berry	{MoveID:405s,MovePP:10b}	{MoveID:47s,MovePP:10b}	{MoveID:222s,MovePP:10b}	{MoveID:58s,MovePP:10b}	Naughty	-	170	170	-	170	-
376		Metagross	Occa Berry	{MoveID:370s,MovePP:10b}	{MoveID:430s,MovePP:10b}	{MoveID:288s,MovePP:15b}	{MoveID:132s,MovePP:30b}	Naive	-	252	-	-	-	252
445		Garchomp	Lax Incense	{MoveID:58s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:267s,MovePP:10b}	{MoveID:277s,MovePP:15b}	Jolly	252	-	-	-	-	252
635		Hydreigon	Dragon Fang	{MoveID:437s,MovePP:10b}	{MoveID:266s,MovePP:10b}	{MoveID:104s,MovePP:15b}	{MoveID:222s,MovePP:10b}	Rash	-	252	-	-	-	252
289		Slaking	Chople Berry	{MoveID:58s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:187s,MovePP:10b}	{MoveID:311s,MovePP:5b}	Naive	-	252	-	-	-	252
3		Venusaur	Miracle Seed	{MoveID:56s,MovePP:15b}	{MoveID:17s,MovePP:10b}	{MoveID:460s,MovePP:10b}	{MoveID:58s,MovePP:10b}	Brave	170	170	170	-	-	-
6		Charizard	Charti Berry	{MoveID:55s,MovePP:15b}	{MoveID:208s,MovePP:15b}	{MoveID:187s,MovePP:10b}	{MoveID:401s,MovePP:20b}	Adamant	-	252	-	-	-	252
9		Blastoise	Zoom Lens	{MoveID:103s,MovePP:5b}	{MoveID:105s,MovePP:10b}	{MoveID:101s,MovePP:30b}	{MoveID:442s,MovePP:5b}	Quiet	252	-	-	252	-	-
154		Meganium	Chesto Berry	{MoveID:26s,MovePP:15b}	{MoveID:605s,MovePP:15b}	{MoveID:38s,MovePP:10b}	{MoveID:29s,MovePP:10b}	Bold	252	-	252	-	-	-
157		Typhlosion	Wide Lens	{MoveID:53s,MovePP:5b}	{MoveID:442s,MovePP:5b}	{MoveID:383s,MovePP:20b}	{MoveID:207s,MovePP:15b}	Naive	-	-	-	252	-	252
160		Feraligatr	Liechi Berry	{MoveID:342s,MovePP:5b}	{MoveID:214s,MovePP:10b}	{MoveID:450s,MovePP:15b}	{MoveID:401s,MovePP:20b}	Adamant	170	170	-	-	-	170
254		Sceptile	Scope Lens	{MoveID:400s,MovePP:15b}	{MoveID:434s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:35s,MovePP:20b}	Hasty	-	252	-	-	-	252
257		Blaziken	Salac Berry	{MoveID:362s,MovePP:10b}	{MoveID:204s,MovePP:20b}	{MoveID:297s,MovePP:10b}	{MoveID:237s,MovePP:15b}	Adamant	170	170	-	-	-	170
260		Swampert	Chesto Berry	{MoveID:159s,MovePP:15b}	{MoveID:409s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:232s,MovePP:10b}	Careful	252	-	-	-	252	-
389		Torterra	Choice Scarf	{MoveID:187s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:470s,MovePP:15b}	{MoveID:378s,MovePP:20b}	Jolly	-	252	-	-	-	252
392		Infernape	Charcoal	{MoveID:210s,MovePP:10b}	{MoveID:207s,MovePP:15b}	{MoveID:36s,MovePP:20b}	{MoveID:224s,MovePP:20b}	Mild	170	-	-	170	-	170
395		Empoleon	Muscle Band	{MoveID:111s,MovePP:20b}	{MoveID:471s,MovePP:20b}	{MoveID:313s,MovePP:35b}	{MoveID:360s,MovePP:15b}	Lonely	170	170	-	-	170	-
497		Serperior	Sitrus Berry	{MoveID:535s,MovePP:10b}	{MoveID:18s,MovePP:15b}	{MoveID:318s,MovePP:20b}	{MoveID:466s,MovePP:20b}	Sassy	170	-	-	170	170	-
500		Emboar	Quick Claw	{MoveID:346s,MovePP:10b}	{MoveID:263s,MovePP:15b}	{MoveID:60s,MovePP:20b}	{MoveID:534s,MovePP:10b}	Brave	-	170	170	-	170	-
503		Samurott	Zoom Lens	{MoveID:106s,MovePP:5b}	{MoveID:59s,MovePP:5b}	{MoveID:293s,MovePP:5b}	{MoveID:103s,MovePP:5b}	Quiet	-	252	-	252	-	-
51		Dugtrio	Choice Band	{MoveID:21s,MovePP:10b}	{MoveID:519s,MovePP:5b}	{MoveID:58s,MovePP:10b}	{MoveID:187s,MovePP:10b}	Lonely	252	-	-	-	-	252
105		Marowak	Iron Ball	{MoveID:58s,MovePP:10b}	{MoveID:416s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:293s,MovePP:5b}	Brave	252	252	-	-	-	-
308		Medicham	TwistedSpoon	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:224s,MovePP:20b}	Timid	-	-	-	252	-	252
195		Quagsire	Iron Ball	{MoveID:58s,MovePP:10b}	{MoveID:326s,MovePP:20b}	{MoveID:416s,MovePP:10b}	{MoveID:328s,MovePP:10b}	Impish	170	-	170	-	170	-
210		Granbull	Wise Glasses	{MoveID:554s,MovePP:15b}	{MoveID:122s,MovePP:15b}	{MoveID:567s,MovePP:10b}	{MoveID:27s,MovePP:10b}	Modest	-	-	252	252	-	-
124		Jynx	Destiny Knot	{MoveID:67s,MovePP:15b}	{MoveID:324s,MovePP:10b}	{MoveID:530s,MovePP:25b}	{MoveID:225s,MovePP:5b}	Adamant	-	252	-	-	-	252
122		Mr. Mime	Jaboca Berry	{MoveID:268s,MovePP:10b}	{MoveID:486s,MovePP:10b}	{MoveID:565s,MovePP:20b}	{MoveID:324s,MovePP:10b}	Brave	-	252	-	-	252	-
171		Lanturn	Sitrus Berry	{MoveID:123s,MovePP:20b}	{MoveID:229s,MovePP:10b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	Calm	-	-	252	252	-	-
286		Breloom	{MoveID:16s,MovePP:10b} Orb	{MoveID:38s,MovePP:10b}	{MoveID:15s,MovePP:15b}	{MoveID:408s,MovePP:10b}	{MoveID:179s,MovePP:15b}	Jolly	-	252	-	-	-	252
205		Forretress	Sitrus Berry	{MoveID:246s,MovePP:20b}	{MoveID:58s,MovePP:10b}	{MoveID:430s,MovePP:10b}	{MoveID:218s,MovePP:5b}	Naughty	252	252	-	-	-	-
227		Skarmory	Cell Battery	{MoveID:443s,MovePP:15b}	{MoveID:303s,MovePP:25b}	{MoveID:35s,MovePP:20b}	{MoveID:56s,MovePP:15b}	Naughty	252	-	-	-	-	252
359		Absol	Chople Berry	{MoveID:259s,MovePP:5b}	{MoveID:343s,MovePP:15b}	{MoveID:451s,MovePP:20b}	{MoveID:225s,MovePP:5b}	Adamant	252	252	-	-	-	-
340		Whiscash	Soft Sand	{MoveID:214s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:288s,MovePP:15b}	{MoveID:401s,MovePP:20b}	Adamant	170	170	170	-	-	-
297		Hariyama	Custap Berry	{MoveID:237s,MovePP:15b}	{MoveID:446s,MovePP:30b}	{MoveID:21s,MovePP:10b}	{MoveID:243s,MovePP:10b}	Careful	-	-	252	-	252	-
416		Vespiquen	Insect Plate	{MoveID:472s,MovePP:15b}	{MoveID:439s,MovePP:20b}	{MoveID:466s,MovePP:20b}	{MoveID:142s,MovePP:10b}	Quiet	252	-	-	252	-	-
26		Raichu	Magnet	{MoveID:201s,MovePP:15b}	{MoveID:497s,MovePP:10b}	{MoveID:324s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Jolly	-	252	-	-	-	252
87		Dewgong	Never-Melt Ice	{MoveID:448s,MovePP:30b}	{MoveID:381s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:311s,MovePP:5b}	Rash	-	-	-	252	-	252
310		Manectric	Charcoal	{MoveID:51s,MovePP:15b}	{MoveID:205s,MovePP:5b}	{MoveID:457s,MovePP:15b}	{MoveID:335s,MovePP:20b}	Modest	-	-	-	252	-	252
398		Staraptor	Choice Scarf	{MoveID:258s,MovePP:20b}	{MoveID:415s,MovePP:5b}	{MoveID:405s,MovePP:10b}	{MoveID:519s,MovePP:5b}	Adamant	252	-	-	-	-	252
423		Gastrodon	Rindo Berry	{MoveID:159s,MovePP:15b}	{MoveID:165s,MovePP:20b}	{MoveID:232s,MovePP:10b}	{MoveID:346s,MovePP:10b}	Careful	-	170	170	-	170	-
435		Skuntank	Poison Barb	{MoveID:258s,MovePP:20b}	{MoveID:501s,MovePP:15b}	{MoveID:433s,MovePP:20b}	{MoveID:225s,MovePP:5b}	Adamant	-	252	-	-	-	252
539		Sawk	Focus Sash	{MoveID:58s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:297s,MovePP:10b}	{MoveID:237s,MovePP:15b}	Naughty	-	252	-	-	-	252
538		Throh	Expert Belt	{MoveID:345s,MovePP:10b}	{MoveID:492s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:115s,MovePP:20b}	Brave	-	252	252	-	-	-
521		Unfezant	Power Herb	{MoveID:59s,MovePP:5b}	{MoveID:133s,MovePP:30b}	{MoveID:130s,MovePP:20b}	{MoveID:175s,MovePP:5b}	Jolly	-	252	-	-	-	252
45		Vileplume	Power Herb	{MoveID:24s,MovePP:10b}	{MoveID:27s,MovePP:10b}	{MoveID:14s,MovePP:5b}	{MoveID:26s,MovePP:15b}	Modest	252	-	-	252	-	-
71		Victreebel	Safety Goggles	{MoveID:459s,MovePP:5b}	{MoveID:7s,MovePP:15b}	{MoveID:326s,MovePP:20b}	{MoveID:311s,MovePP:5b}	Rash	-	-	-	252	-	252
101		Electrode	Focus Sash	{MoveID:497s,MovePP:10b}	{MoveID:225s,MovePP:5b}	{MoveID:21s,MovePP:10b}	{MoveID:184s,MovePP:5b}	Hasty	-	252	-	-	-	252
272		Ludicolo	Tanga Berry	{MoveID:324s,MovePP:10b}	{MoveID:36s,MovePP:20b}	{MoveID:104s,MovePP:15b}	{MoveID:378s,MovePP:20b}	Naughty	170	170	-	170	-	-
275		Shiftry	Miracle Seed	{MoveID:324s,MovePP:10b}	{MoveID:383s,MovePP:20b}	{MoveID:24s,MovePP:10b}	{MoveID:37s,MovePP:15b}	Rash	-	-	-	252	-	252
295		Exploud	Chople Berry	{MoveID:260s,MovePP:15b}	{MoveID:373s,MovePP:20b}	{MoveID:105s,MovePP:10b}	{MoveID:59s,MovePP:5b}	Lonely	-	252	-	252	-	-
428		Lopunny	Liechi Berry	{MoveID:298s,MovePP:20b}	{MoveID:331s,MovePP:20b}	{MoveID:38s,MovePP:10b}	{MoveID:68s,MovePP:15b}	Jolly	-	252	-	-	-	252
478		Froslass	Kasib Berry	{MoveID:448s,MovePP:30b}	{MoveID:123s,MovePP:20b}	{MoveID:271s,MovePP:10b}	{MoveID:225s,MovePP:5b}	Lonely	-	252	-	-	-	252
549		Lilligant	Big Root	{MoveID:341s,MovePP:20b}	{MoveID:4s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Bold	170	-	170	-	170	-
555		Darmanitan	Luminous Moss	{MoveID:129s,MovePP:10b}	{MoveID:210s,MovePP:10b}	{MoveID:505s,MovePP:15b}	{MoveID:565s,MovePP:20b}	Calm	252	-	-	-	252	-
424		Ambipom	Focus Sash	{MoveID:36s,MovePP:20b}	{MoveID:122s,MovePP:15b}	{MoveID:445s,MovePP:20b}	{MoveID:114s,MovePP:20b}	Timid	-	-	-	252	-	252
563		Cofagrigus	Spell Tag	{MoveID:227s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:207s,MovePP:15b}	{MoveID:445s,MovePP:20b}	Quiet	252	-	-	252	-	-
623		Golurk	Wide Lens	{MoveID:409s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:232s,MovePP:10b}	{MoveID:218s,MovePP:5b}	Brave	-	252	-	-	252	-
632		Durant	Power Herb	{MoveID:127s,MovePP:10b}	{MoveID:215s,MovePP:15b}	{MoveID:132s,MovePP:30b}	{MoveID:255s,MovePP:40b}	Impish	-	-	252	-	-	252
76		Golem	{MoveID:117s,MovePP:25b} Bulb	{MoveID:187s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:60s,MovePP:20b}	{MoveID:489s,MovePP:15b}	Naughty	-	252	-	-	-	252
80		Slowbro	Quick Claw	{MoveID:51s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:365s,MovePP:10b}	{MoveID:213s,MovePP:20b}	Modest	-	-	252	252	-	-
110		Weezing	Safety Goggles	{MoveID:27s,MovePP:10b}	{MoveID:158s,MovePP:5b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	Rash	252	-	-	252	-	-
115		Kangaskhan	Salac Berry	{MoveID:187s,MovePP:10b}	{MoveID:259s,MovePP:5b}	{MoveID:297s,MovePP:10b}	{MoveID:237s,MovePP:15b}	Jolly	-	252	-	-	-	252
128		Tauros	Expert Belt	{MoveID:288s,MovePP:15b}	{MoveID:263s,MovePP:15b}	{MoveID:37s,MovePP:15b}	{MoveID:59s,MovePP:5b}	Jolly	-	252	-	-	-	252
442		Spiritomb	Quick Claw	{MoveID:559s,MovePP:30b}	{MoveID:259s,MovePP:5b}	{MoveID:207s,MovePP:15b}	{MoveID:225s,MovePP:5b}	Brave	252	252	-	-	-	-
615		Cryogonal	Occa Berry	{MoveID:448s,MovePP:30b}	{MoveID:50s,MovePP:20b}	{MoveID:433s,MovePP:20b}	{MoveID:146s,MovePP:30b}	Hasty	-	252	-	-	-	252
621		Druddigon	Scope Lens	{MoveID:55s,MovePP:15b}	{MoveID:434s,MovePP:15b}	{MoveID:50s,MovePP:20b}	{MoveID:54s,MovePP:15b}	Lonely	170	-	170	-	170	-
518		Musharna	Lum Berry	{MoveID:227s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:455s,MovePP:5b}	Bold	-	-	252	252	-	-
560		Scrafty	Coba Berry	{MoveID:168s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:225s,MovePP:5b}	{MoveID:401s,MovePP:20b}	Jolly	252	-	-	-	-	252
598		Ferrothorn	Chesto Berry	{MoveID:29s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:218s,MovePP:5b}	{MoveID:232s,MovePP:10b}	Careful	252	-	-	-	252	-
65		Alakazam	Focus Sash	{MoveID:230s,MovePP:10b}	{MoveID:311s,MovePP:5b}	{MoveID:21s,MovePP:10b}	{MoveID:129s,MovePP:10b}	Timid	-	-	-	252	-	252
199		Slowking	King's Rock	{MoveID:288s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:37s,MovePP:15b}	{MoveID:230s,MovePP:10b}	Gentle	-	252	-	-	252	-
241		Miltank	Razor Fang	{MoveID:88s,MovePP:15b}	{MoveID:416s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:466s,MovePP:20b}	Naive	-	252	-	-	-	252
334		Altaria	Snowball	{MoveID:55s,MovePP:15b}	{MoveID:253s,MovePP:20b}	{MoveID:303s,MovePP:25b}	{MoveID:401s,MovePP:20b}	Lonely	-	252	-	-	-	252
454		{MoveID:16s,MovePP:10b}roak	Petaya Berry	{MoveID:442s,MovePP:5b}	{MoveID:27s,MovePP:10b}	{MoveID:38s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Modest	-	-	-	252	-	252
